Subclass,term,df,sumsq,meansq,statistic,p.value,p_adj_BH,neglog10_p
Acylcarnitine,Sex,1,0.09840200773440433,0.09840200773440433,0.3352068682637752,0.5712016273688778,0.9571769915157455,0.24321056391340012
Acylcarnitine,Genotype,1,1.5774861559592068e-4,1.5774861559592068e-4,5.373713466251442e-4,0.9818112472642362,0.9818112472642362,0.007971997091704526
Acylcarnitine,Sex:Genotype,1,0.010072882523061821,0.010072882523061821,0.03431331822068038,0.8555233998046068,0.9671134084747728,0.06776810737707284
Acylcarnitine,Residuals,15,4.403340909037021,0.293556060602468,NA,NA,NA,NA
CE,Sex,1,1.7056796358445352,1.7056796358445352,10.965355900721237,0.004746661805362299,0.12341320693941976,2.3236117102022678
CE,Genotype,1,0.5718403815522963,0.5718403815522963,3.6762081051759,0.07444064502864232,0.962012105350647,1.1281898723606372
CE,Sex:Genotype,1,0.25279786938401116,0.25279786938401116,1.6251695514716107,0.22176640480850415,0.9671134084747728,0.6541042440811684
CE,Residuals,15,2.3332753418414063,0.15555168945609374,NA,NA,NA,NA
COH,Sex,1,0.062343122379626914,0.062343122379626914,0.5469611020294072,0.4709788021441923,0.9571769915157455,0.326998639195896
COH,Genotype,1,0.03051768049497139,0.03051768049497139,0.26774379462851,0.6123954836079675,0.962012105350647,0.21296802086628247
COH,Sex:Genotype,1,0.006912141336033351,0.006912141336033351,0.06064297549163666,0.8088206259752062,0.9671134084747728,0.09214778220316085
COH,Residuals,15,1.709713601615725,0.11398090677438168,NA,NA,NA,NA
Cer,Sex,1,0.0574536422451315,0.0574536422451315,0.3325206183937465,0.5727311550207062,0.9571769915157455,0.24204919180275317
Cer,Genotype,1,0.01447741006579184,0.01447741006579184,0.08378994193749109,0.7761882317628157,0.962012105350647,0.11003294613505978
Cer,Sex:Genotype,1,0.01100306056878253,0.01100306056878253,0.06368168077047283,0.8041939668485945,0.9671134084747728,0.09463918934575663
Cer,Residuals,15,2.5917329212244113,0.1727821947482941,NA,NA,NA,NA
DG,Sex,1,0.04568023367089502,0.04568023367089502,0.13881928403635715,0.7146694909940716,0.9571769915157455,0.14589475739195704
DG,Genotype,1,0.0939749888013175,0.0939749888013175,0.28558393016792927,0.6008962177519652,0.962012105350647,0.22120052957740913
DG,Sex:Genotype,1,0.26153629748233787,0.26153629748233787,0.7947919405926828,0.3867326120967085,0.9671134084747728,0.4125892035244186
DG,Residuals,15,4.935938906614506,0.3290625937743004,NA,NA,NA,NA
FA,Sex,1,0.03220056822029527,0.03220056822029527,0.13061177079955905,0.7228385391465809,0.9571769915157455,0.14095870047676415
FA,Genotype,1,0.013005496673192507,0.013005496673192507,0.05275282532259213,0.8214431251380083,0.962012105350647,0.08542250075454758
FA,Sex:Genotype,1,0.022623752725074997,0.022623752725074997,0.09176634354206745,0.7661041070233608,0.9671134084747728,0.11571220943580883
FA,Residuals,15,3.6980474297808055,0.24653649531872038,NA,NA,NA,NA
GM3,Sex,1,0.0027565687247435022,0.0027565687247435022,0.017445036785623126,0.8966766826397651,0.9571769915157455,0.04736412357500191
GM3,Genotype,1,0.03808046952703714,0.03808046952703714,0.24099351695821683,0.630593782618551,0.962012105350647,0.2002503155224091
GM3,Sex:Genotype,1,0.0408540791321248,0.0408540791321248,0.2585463975214301,0.618516765354961,0.9671134084747728,0.20864852400177078
GM3,Residuals,15,2.370217465246554,0.1580144976831036,NA,NA,NA,NA
Hex2Cer,Sex,1,0.1855008865909551,0.1855008865909551,1.1330609124885884,0.3039592366215061,0.9571769915157455,0.5171846548694329
Hex2Cer,Genotype,1,0.0758170217343217,0.0758170217343217,0.4630991549807847,0.5065481716105322,0.962012105350647,0.29537924789530484
Hex2Cer,Sex:Genotype,1,0.012523641841187594,0.012523641841187594,0.07649585569661735,0.7858781728000055,0.9671134084747728,0.10464477327544083
Hex2Cer,Residuals,15,2.4557490847980783,0.16371660565320523,NA,NA,NA,NA
HexCer,Sex,1,3.7756038004244097e-4,3.7756038004244097e-4,0.005236659856389022,0.9432677226227076,0.9571769915157455,0.025365026291355765
HexCer,Genotype,1,0.035634786378079264,0.035634786378079264,0.4942448021058507,0.4928078237797088,0.962012105350647,0.30732240596257737
HexCer,Sex:Genotype,1,0.004900422079981315,0.004900422079981315,0.06796752239394381,0.7978645118251352,0.9671134084747728,0.09807085145940553
HexCer,Residuals,15,1.081491992214644,0.07209946614764293,NA,NA,NA,NA
LPC,Sex,1,0.04205702241239773,0.04205702241239773,0.43399592201896925,0.5200198739710066,0.9571769915157455,0.28398005830557
LPC,Genotype,1,0.05837550205473141,0.05837550205473141,0.6023900025336821,0.4497330231124843,0.962012105350647,0.3470452217739099
LPC,Sex:Genotype,1,0.09887999041741535,0.09887999041741535,1.0203649747154429,0.32845024167717085,0.9671134084747728,0.4835304142376201
LPC,Residuals,15,1.4535973823237727,0.09690649215491817,NA,NA,NA,NA
LPE,Sex,1,0.18755851547138702,0.18755851547138702,0.8463318415242862,0.3721506177608235,0.9571769915157455,0.42928125575341
LPE,Genotype,1,0.13183142593919417,0.13183142593919417,0.5948710630678445,0.45252104343180033,0.962012105350647,0.34436122014095927
LPE,Sex:Genotype,1,0.010803988121744545,0.010803988121744545,0.04875150104436341,0.8282274338473943,0.9671134084747728,0.0818503882127577
LPE,Residuals,15,3.3242016831173107,0.22161344554115406,NA,NA,NA,NA
LPI,Sex,1,0.3790025239397643,0.3790025239397643,0.5056002308177235,0.4879601508517414,0.9571769915157455,0.31161564310350665
LPI,Genotype,1,0.02741674996574872,0.02741674996574872,0.03657473033915065,0.8508980769274985,0.962012105350647,0.07012245786950588
LPI,Sex:Genotype,1,0.2560449957779749,0.2560449957779749,0.341571363745435,0.5676104970425814,0.9671134084747728,0.24594958156284544
LPI,Residuals,15,11.244136202038257,0.7496090801358838,NA,NA,NA,NA
PA,Sex,1,4.5482851041001027e-4,4.5482851041001027e-4,0.0029812628742639496,0.9571769915157455,0.9571769915157455,0.019007749442058623
PA,Genotype,1,0.07620338065971666,0.07620338065971666,0.49949003735368463,0.4905582368511353,0.962012105350647,0.3093094277503739
PA,Sex:Genotype,1,2.982964154423229e-4,2.982964154423229e-4,0.001955242489268193,0.9653138152136425,0.9963346108458233,0.015331478303711848
PA,Residuals,15,2.2884354529905577,0.15256236353270386,NA,NA,NA,NA
PC,Sex,1,0.004384645154291933,0.004384645154291933,0.05918143953912222,0.8110899054415367,0.9571769915157455,0.09093100365188662
PC,Genotype,1,9.053362649205088e-4,9.053362649205088e-4,0.012219712551315959,0.9134443863942572,0.962012105350647,0.039317888833968535
PC,Sex:Genotype,1,1.723791789731699e-4,1.723791789731699e-4,0.0023266758424494733,0.9621648470303283,0.9963346108458233,0.016750514217527497
PC,Residuals,15,1.1113227022959045,0.0740881801530603,NA,NA,NA,NA
PE,Sex,1,0.022586542040709867,0.022586542040709867,0.340736591907761,0.568078917304492,0.9571769915157455,0.2455913280757117
PE,Genotype,1,0.029055633286308336,0.029055633286308336,0.4383281621354043,0.5179735092987945,0.962012105350647,0.28569245079442757
PE,Sex:Genotype,1,1.4463060870051336e-6,1.4463060870051336e-6,2.1818718688914035e-5,0.9963346108458233,0.9963346108458233,0.0015947828222995111
PE,Residuals,15,0.994310968228391,0.06628739788189274,NA,NA,NA,NA
PG,Sex,1,0.018160704938234407,0.018160704938234407,0.09984720875243784,0.7563672255910221,0.9571769915157455,0.12126729798319295
PG,Genotype,1,0.008105771978740517,0.008105771978740517,0.04456537946151169,0.8356464531653234,0.962012105350647,0.07797742580923092
PG,Sex:Genotype,1,0.006335225326963734,0.006335225326963734,0.034830947800012904,0.8544510468261548,0.9671134084747728,0.0683128138119128
PG,Residuals,15,2.728274305082815,0.18188495367218765,NA,NA,NA,NA
PI,Sex,1,0.0012655571372814922,0.0012655571372814922,0.009886268407274863,0.9221137595505658,0.9571769915157455,0.03521549749578894
PI,Genotype,1,0.0166344456036982,0.0166344456036982,0.12994481971602623,0.7235150741017975,0.962012105350647,0.14055241612610178
PI,Sex:Genotype,1,0.05784757557776965,0.05784757557776965,0.45189319551420987,0.5116598175015374,0.9671134084747728,0.2910186884071675
PI,Residuals,15,1.9201741523883145,0.12801161015922097,NA,NA,NA,NA
PIP1,Sex,1,0.05225041453371948,0.05225041453371948,0.4998517567594019,0.490403762205988,0.9571769915157455,0.3094462067216296
PIP1,Genotype,1,0.4413209363092483,0.4413209363092483,4.221881247784594,0.057756204893905164,0.962012105350647,1.2384013515842738
PIP1,Sex:Genotype,1,0.23408872843533524,0.23408872843533524,2.2394016045645997,0.15527620503231432,0.9671134084747728,0.8088950916953312
PIP1,Residuals,15,1.5679773200898133,0.10453182133932089,NA,NA,NA,NA
PS,Sex,1,0.05000330908120598,0.05000330908120598,0.44752395669527006,0.5136781228786031,0.9571769915157455,0.2893089301203619
PS,Genotype,1,0.25944911759436384,0.25944911759436384,2.3220402369443702,0.14835579021248205,0.962012105350647,0.8286954988364768
PS,Sex:Genotype,1,0.12856526641626909,0.12856526641626909,1.150644582876526,0.30036925804217884,0.9671134084747728,0.5223445182252706
PS,Residuals,15,1.6759988487696018,0.11173325658464012,NA,NA,NA,NA
S1P,Sex,1,0.013870482206810753,0.013870482206810753,0.07333720979081935,0.7902293370232027,0.9571769915157455,0.10224685130505555
S1P,Genotype,1,0.03556505858556802,0.03556505858556802,0.18804264508063542,0.6707224813866803,0.962012105350647,0.17345713666135987
S1P,Sex:Genotype,1,0.16759533677101013,0.16759533677101013,0.8861245189228834,0.36144385467167917,0.9671134084747728,0.4419591548009999
S1P,Residuals,15,2.836994122023534,0.18913294146823562,NA,NA,NA,NA
SHexCer,Sex,1,8.520677677316124e-4,8.520677677316124e-4,0.013296509361930959,0.9097285076629541,0.9571769915157455,0.04108819582816753
SHexCer,Genotype,1,0.03412924896784231,0.03412924896784231,0.5325866035570159,0.47676443355074993,0.962012105350647,0.32169615026610116
SHexCer,Sex:Genotype,1,0.0032422422677592655,0.0032422422677592655,0.05059515956304599,0.8250664020353248,0.9671134084747728,0.08351109765971994
SHexCer,Residuals,15,0.9612309643136361,0.06408206428757574,NA,NA,NA,NA
SM,Sex,1,0.07743153202732778,0.07743153202732778,0.9656212934587538,0.3413598762512322,0.9571769915157455,0.46678752758786063
SM,Genotype,1,0.002982146492060078,0.002982146492060078,0.03718929585340294,0.8496669306938446,0.962012105350647,0.07075128429685006
SM,Sex:Genotype,1,0.00881051078262951,0.00881051078262951,0.10987276882178215,0.7448748113813167,0.9671134084747728,0.12791671154005657
SM,Residuals,15,1.2028245320167317,0.08018830213444877,NA,NA,NA,NA
Sph,Sex,1,0.02134027579673159,0.02134027579673159,0.08858383042343844,0.770067781311978,0.9571769915157455,0.1134710465753017
Sph,Genotype,1,0.002207153541442075,0.002207153541442075,0.009161930093871671,0.9250116397602375,0.962012105350647,0.033852802340062854
Sph,Sex:Genotype,1,0.19022271744267893,0.19022271744267893,0.7896175806316763,0.38824374980047216,0.9671134084747728,0.4108955270971886
Sph,Residuals,15,3.613572989797891,0.24090486598652608,NA,NA,NA,NA
TG,Sex,1,0.35954752520338484,0.35954752520338484,0.752876539372747,0.39923602504968336,0.9571769915157455,0.3987702770680787
TG,Genotype,1,0.24129305303277349,0.24129305303277349,0.5052569299127776,0.4881054898257696,0.962012105350647,0.31148630771403707
TG,Sex:Genotype,1,0.15470227901725853,0.15470227901725853,0.32393969724504795,0.5776734379232559,0.9671134084747728,0.23831760134999724
TG,Residuals,15,7.1634758104483955,0.477565054029893,NA,NA,NA,NA
Ubiquinone,Sex,1,0.27528443731030006,0.27528443731030006,2.009425616145479,0.17676189579259705,0.9571769915157455,0.7526113492242015
Ubiquinone,Genotype,1,0.0013424191357116477,0.0013424191357116477,0.009798924433429747,0.9224573786623823,0.962012105350647,0.035053690902621476
Ubiquinone,Sex:Genotype,1,0.012979161373076309,0.012979161373076309,0.09474076919846869,0.7624672228261125,0.9671134084747728,0.1177788211637542
Ubiquinone,Residuals,15,2.0549487010001117,0.13699658006667412,NA,NA,NA,NA
dhCer,Sex,1,0.05308699111097637,0.05308699111097637,0.22306622773126492,0.6435114375476394,0.9571769915157455,0.19144372969248832
dhCer,Genotype,1,0.15491192561652634,0.15491192561652634,0.6509244196120969,0.43238930512993645,0.962012105350647,0.3641250565792613
dhCer,Sex:Genotype,1,0.8844071948619789,0.8844071948619789,3.7161905884596487,0.07303982108344893,0.9671134084747728,1.1364402993095464
dhCer,Residuals,15,3.5698136592150544,0.23798757728100364,NA,NA,NA,NA
