Subclass,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
Acylcarnitine,(4s2-) - 4s2M,F,-0.025666996021394668,0.3014342219896045,15,-0.08514957542637558,0.9332686028279724,0.9332686028279724,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Acylcarnitine,(4s2-) - 4s2M,M,0.07349475056870347,0.44238449385307943,15,0.16613319768190576,0.8702707317797622,0.8702707317797622,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
CE,(4s2-) - 4s2M,F,0.19016151008649038,0.21942413608879657,15,0.8666389827303949,0.3997908103016806,0.3997908103016806,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
CE,(4s2-) - 4s2M,M,0.6869299395321583,0.32202659254176896,15,2.1331466265260657,0.04983984031335648,0.04983984031335648,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
COH,(4s2-) - 4s2M,F,-0.05427192094422636,0.18782918963192274,15,-0.2889429542371965,0.7765800035268863,0.7765800035268863,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
COH,(4s2-) - 4s2M,M,-0.1364154936831714,0.2756578879388745,15,-0.4948724475224185,0.6278600824657561,0.6278600824657561,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Cer,(4s2-) - 4s2M,F,-0.08818087533825074,0.23125787151225086,15,-0.3813097247744035,0.7083202578116429,0.7083202578116429,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Cer,(4s2-) - 4s2M,M,0.015458320607069143,0.33939376811042954,15,0.04554686048931642,0.9642722668909757,0.9642722668909757,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
DG,(4s2-) - 4s2M,F,-0.019269215082763802,0.31914370994398,15,-0.060377862644218086,0.9526517947322907,0.9526517947322907,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
DG,(4s2-) - 4s2M,M,0.4860121350385105,0.4683749166172333,15,1.0376561976218952,0.3158690276978539,0.3158690276978539,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
FA,(4s2-) - 4s2M,F,0.005311726271892359,0.27624068349484504,15,0.019228616888328404,0.9849121744382925,0.9849121744382925,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
FA,(4s2-) - 4s2M,M,0.1539222640742524,0.4054104877106827,15,0.3796701583706871,0.7095116757675459,0.7095116757675459,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
GM3,(4s2-) - 4s2M,F,0.026398651022489172,0.22115435623759572,15,0.11936753800195532,0.9065682009600954,0.9065682009600954,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
GM3,(4s2-) - 4s2M,M,0.22610183818361707,0.3245658615064166,15,0.6966285275173559,0.49668979103641164,0.49668979103641164,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
Hex2Cer,(4s2-) - 4s2M,F,-0.09153686921430386,0.22510927893822436,15,-0.406633034613486,0.6900202513511935,0.6900202513511935,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Hex2Cer,(4s2-) - 4s2M,M,-0.20210567083839648,0.3303701012028834,15,-0.6117553316796107,0.5498602566578887,0.5498602566578887,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
HexCer,(4s2-) - 4s2M,F,-0.06486005472603716,0.14938708587642835,15,-0.4341744424928994,0.6703421074273099,0.6703421074273099,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
HexCer,(4s2-) - 4s2M,M,-0.13402467981568256,0.21924030369686887,15,-0.6113140583904266,0.5501446081891146,0.5501446081891146,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
LPC,(4s2-) - 4s2M,F,0.012573317296715791,0.1731902613294969,15,0.07259829276886925,0.9430849880244385,0.9430849880244385,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
LPC,(4s2-) - 4s2M,M,0.3232591794328716,0.2541738147474652,15,1.2718036267978519,0.22280823280066142,0.22280823280066142,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
LPE,(4s2-) - 4s2M,F,0.1343709546142846,0.2619057805883545,15,0.5130507402793054,0.6153885114631192,0.6153885114631192,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
LPE,(4s2-) - 4s2M,M,0.2370683270700693,0.3843726018168257,15,0.6167669754543149,0.5466364226644921,0.5466364226644921,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
LPI,(4s2-) - 4s2M,F,-0.23464790830887167,0.4816864728610273,15,-0.4871382559596408,0.6332023295454773,0.6332023295454773,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
LPI,(4s2-) - 4s2M,M,0.26530077541245795,0.7069224757759902,15,0.37528977292911325,0.7126985918360098,0.7126985918360098,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PA,(4s2-) - 4s2M,F,-0.12150675385256138,0.21730550833008996,15,-0.5591517434891295,0.5843106657214165,0.5843106657214165,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PA,(4s2-) - 4s2M,M,-0.13857116476640746,0.31891729704601457,15,-0.43450501446590994,0.6701073876798709,0.6701073876798709,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PC,(4s2-) - 4s2M,F,0.009720623861301365,0.15143333768249814,15,0.06419077866250333,0.9496659605617448,0.9496659605617448,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PC,(4s2-) - 4s2M,M,0.022692705914973677,0.22224338033345378,15,0.10210745481339224,0.9200238665027605,0.9200238665027605,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PE,(4s2-) - 4s2M,F,-0.07799314657774059,0.14323940769154248,15,-0.5444950369083777,0.5941036665236127,0.5941036665236127,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PE,(4s2-) - 4s2M,M,-0.0791813680334244,0.21021797874570206,15,-0.37666315938280936,0.7116987961415924,0.7116987961415924,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PG,(4s2-) - 4s2M,F,-0.06632833034011629,0.23727141369258356,15,-0.2795462348703051,0.7836434728298439,0.7836434728298439,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PG,(4s2-) - 4s2M,M,0.012312540895537107,0.3482192352261122,15,0.03535858921619335,0.972260056922979,0.972260056922979,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PI,(4s2-) - 4s2M,F,-0.1346453483772894,0.19905436754755934,15,-0.6764249889926132,0.5090675634040425,0.5090675634040425,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PI,(4s2-) - 4s2M,M,0.10298935521149122,0.29213194525672914,15,0.35254396817500705,0.7293349991340448,0.7293349991340448,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PIP1,(4s2-) - 4s2M,F,-0.15385846404377534,0.1798751999509906,15,-0.8553622961125054,0.405806545849573,0.405806545849573,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PIP1,(4s2-) - 4s2M,M,-0.6318910856106646,0.2639846224553252,15,-2.393666266365955,0.03019631391505754,0.03019631391505754,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PS,(4s2-) - 4s2M,F,-0.12185746647594395,0.18596801668184523,15,-0.6552603434192567,0.5222232297856532,0.5222232297856532,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PS,(4s2-) - 4s2M,M,-0.4761231699309256,0.272926432803958,15,-1.7445110209347992,0.10151866319939044,0.10151866319939044,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
S1P,(4s2-) - 4s2M,F,-0.21495545669445756,0.2419527816531398,15,-0.888419034597481,0.38834019191411184,0.38834019191411184,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
S1P,(4s2-) - 4s2M,M,0.18952565733906043,0.35508960509354587,15,0.5337403703753345,0.6013417840681542,0.6013417840681542,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
SHexCer,(4s2-) - 4s2M,F,-0.06709897316548202,0.1408365174961384,15,-0.4764316411567178,0.6406326192576857,0.6406326192576857,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SHexCer,(4s2-) - 4s2M,M,-0.1233577149154429,0.20669150004709227,15,-0.5968204540938417,0.559528307375127,0.559528307375127,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SM,(4s2-) - 4s2M,F,-0.05451263429476086,0.1575442438044018,15,-0.34601476371577705,0.7341370176327904,0.7341370176327904,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SM,(4s2-) - 4s2M,M,0.03822752268362942,0.23121173865016562,15,0.1653355617098208,0.8708875475627241,0.8708875475627241,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
Sph,(4s2-) - 4s2M,F,-0.11503391129299573,0.2730673760319462,15,-0.4212656706363117,0.6795354118009433,0.6795354118009433,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Sph,(4s2-) - 4s2M,M,0.31588789730180605,0.40075334557682396,15,0.7882352094831127,0.44283858726773895,0.44283858726773895,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
TG,(4s2-) - 4s2M,F,-0.34906122237601117,0.38447074637581513,15,-0.9079006027543338,0.3782863314977889,0.3782863314977889,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
TG,(4s2-) - 4s2M,M,0.03955026924718996,0.5642487950244955,15,0.07009367072812797,0.9450450527316834,0.9450450527316834,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
Ubiquinone,(4s2-) - 4s2M,F,-0.0188450133722071,0.2059215951617764,15,-0.0915154787792026,0.928293986232093,0.928293986232093,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Ubiquinone,(4s2-) - 4s2M,M,0.09371667514274162,0.30221028006635164,15,0.31010419341845585,0.7607484878342274,0.7607484878342274,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
dhCer,(4s2-) - 4s2M,F,0.11365620029180212,0.27140895626223954,15,0.4187636320372042,0.6813234558042995,0.6813234558042995,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
dhCer,(4s2-) - 4s2M,M,-0.8155100284846198,0.39831945076031927,15,-2.047376865297338,0.058553796771236094,0.058553796771236094,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
